"filename", "language", "SCSS", "TypeScript", "HTML", "JSON", "XML", "comment", "blank", "total"
"c:\Users\aymen\Desktop\main\src\app\SERVICE\BookService.ts", "TypeScript", 0, 60, 0, 0, 0, 1, 22, 83
"c:\Users\aymen\Desktop\main\src\app\SERVICE\auth.guard.ts", "TypeScript", 0, 25, 0, 0, 0, 3, 5, 33
"c:\Users\aymen\Desktop\main\src\app\SERVICE\book-update.service.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\aymen\Desktop\main\src\app\app-routing.module.ts", "TypeScript", 0, 68, 0, 0, 0, 2, 4, 74
"c:\Users\aymen\Desktop\main\src\app\app.component.html", "HTML", 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\aymen\Desktop\main\src\app\app.component.spec.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 5, 36
"c:\Users\aymen\Desktop\main\src\app\app.component.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\aymen\Desktop\main\src\app\app.config.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 2, 26
"c:\Users\aymen\Desktop\main\src\app\app.module.ts", "TypeScript", 0, 54, 0, 0, 0, 4, 12, 70
"c:\Users\aymen\Desktop\main\src\app\layouts\blank\blank.component.html", "HTML", 0, 0, 8, 0, 0, 3, 1, 12
"c:\Users\aymen\Desktop\main\src\app\layouts\blank\blank.component.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\aymen\Desktop\main\src\app\layouts\full\full.component.html", "HTML", 0, 0, 27, 0, 0, 12, 4, 43
"c:\Users\aymen\Desktop\main\src\app\layouts\full\full.component.ts", "TypeScript", 0, 46, 0, 0, 0, 2, 14, 62
"c:\Users\aymen\Desktop\main\src\app\layouts\full\header\header.component.html", "HTML", 0, 0, 56, 0, 0, 8, 8, 72
"c:\Users\aymen\Desktop\main\src\app\layouts\full\header\header.component.ts", "TypeScript", 0, 59, 0, 0, 0, 0, 8, 67
"c:\Users\aymen\Desktop\main\src\app\layouts\full\sidebar\branding.component.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 2, 21
"c:\Users\aymen\Desktop\main\src\app\layouts\full\sidebar\nav-item\nav-item.component.html", "HTML", 0, 0, 21, 0, 0, 0, 1, 22
"c:\Users\aymen\Desktop\main\src\app\layouts\full\sidebar\nav-item\nav-item.component.ts", "TypeScript", 0, 33, 0, 0, 0, 1, 6, 40
"c:\Users\aymen\Desktop\main\src\app\layouts\full\sidebar\nav-item\nav-item.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 15
"c:\Users\aymen\Desktop\main\src\app\layouts\full\sidebar\sidebar-data.ts", "TypeScript", 0, 54, 0, 0, 0, 13, 5, 72
"c:\Users\aymen\Desktop\main\src\app\layouts\full\sidebar\sidebar.component.html", "HTML", 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\aymen\Desktop\main\src\app\layouts\full\sidebar\sidebar.component.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\aymen\Desktop\main\src\app\material.module.ts", "TypeScript", 0, 78, 0, 0, 0, 6, 2, 86
"c:\Users\aymen\Desktop\main\src\app\pages\Books\add-book\add-book.component.html", "HTML", 0, 0, 24, 0, 0, 0, 11, 35
"c:\Users\aymen\Desktop\main\src\app\pages\Books\add-book\add-book.component.scss", "SCSS", 33, 0, 0, 0, 0, 0, 9, 42
"c:\Users\aymen\Desktop\main\src\app\pages\Books\add-book\add-book.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\Books\add-book\add-book.component.ts", "TypeScript", 0, 87, 0, 0, 0, 5, 23, 115
"c:\Users\aymen\Desktop\main\src\app\pages\Books\books\books.component.html", "HTML", 0, 0, 105, 0, 0, 4, 11, 120
