"filename", "language", "SCSS", "TypeScript", "HTML", "comment", "blank", "total"
"c:\Users\aymen\Desktop\main\src\app\SERVICE\BookService.ts", "TypeScript", 0, 5, 0, 0, 0, 5
"c:\Users\aymen\Desktop\main\src\app\SERVICE\UserService.ts", "TypeScript", 0, 36, 0, 0, 25, 61
"c:\Users\aymen\Desktop\main\src\app\SERVICE\book-update.service.ts", "TypeScript", 0, -12, 0, 0, -4, -16
"c:\Users\aymen\Desktop\main\src\app\SERVICE\page-update.service.ts", "TypeScript", 0, 12, 0, 1, 4, 17
"c:\Users\aymen\Desktop\main\src\app\app.module.ts", "TypeScript", 0, 10, 0, 0, 1, 11
"c:\Users\aymen\Desktop\main\src\app\layouts\full\header\header.component.html", "HTML", 0, 0, 0, 6, 4, 10
"c:\Users\aymen\Desktop\main\src\app\pages\Books\add-book\add-book.component.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\aymen\Desktop\main\src\app\pages\Books\books\books.component.html", "HTML", 0, 0, -5, 0, 0, -5
"c:\Users\aymen\Desktop\main\src\app\pages\Books\books\books.component.ts", "TypeScript", 0, 28, 0, 2, 11, 41
"c:\Users\aymen\Desktop\main\src\app\pages\Books\edit-book\edit-book.component.html", "HTML", 0, 0, 18, -1, 3, 20
"c:\Users\aymen\Desktop\main\src\app\pages\Books\edit-book\edit-book.component.scss", "SCSS", 11, 0, 0, 0, 2, 13
"c:\Users\aymen\Desktop\main\src\app\pages\Books\edit-book\edit-book.component.ts", "TypeScript", 0, 7, 0, 0, 5, 12
"c:\Users\aymen\Desktop\main\src\app\pages\Client\bookdetail\bookdetail.component.html", "HTML", 0, 0, 1, 0, 1, 2
"c:\Users\aymen\Desktop\main\src\app\pages\Client\bookdetail\bookdetail.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\Users\aymen\Desktop\main\src\app\pages\Client\bookdetail\bookdetail.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\Client\bookdetail\bookdetail.component.ts", "TypeScript", 0, 8, 0, 0, 3, 11
"c:\Users\aymen\Desktop\main\src\app\pages\Client\client-sidebar\client-sidebar.component.html", "HTML", 0, 0, 49, 0, 6, 55
"c:\Users\aymen\Desktop\main\src\app\pages\Client\client-sidebar\client-sidebar.component.scss", "SCSS", 113, 0, 0, 1, 51, 165
"c:\Users\aymen\Desktop\main\src\app\pages\Client\client-sidebar\client-sidebar.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\Client\client-sidebar\client-sidebar.component.ts", "TypeScript", 0, 58, 0, 1, 13, 72
"c:\Users\aymen\Desktop\main\src\app\pages\Client\front-page\front-page.component.html", "HTML", 0, 0, 77, 0, 21, 98
"c:\Users\aymen\Desktop\main\src\app\pages\Client\front-page\front-page.component.scss", "SCSS", 116, 0, 0, 19, 33, 168
"c:\Users\aymen\Desktop\main\src\app\pages\Client\front-page\front-page.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\Client\front-page\front-page.component.ts", "TypeScript", 0, 126, 0, 37, 28, 191
"c:\Users\aymen\Desktop\main\src\app\pages\User\add-user\add-user.component.html", "HTML", 0, 0, 43, 0, 7, 50
"c:\Users\aymen\Desktop\main\src\app\pages\User\add-user\add-user.component.scss", "SCSS", 47, 0, 0, 0, 10, 57
"c:\Users\aymen\Desktop\main\src\app\pages\User\add-user\add-user.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\User\add-user\add-user.component.ts", "TypeScript", 0, 77, 0, 4, 19, 100
"c:\Users\aymen\Desktop\main\src\app\pages\User\edit-user\edit-user.component.html", "HTML", 0, 0, 40, 0, 8, 48
"c:\Users\aymen\Desktop\main\src\app\pages\User\edit-user\edit-user.component.scss", "SCSS", 47, 0, 0, 0, 10, 57
"c:\Users\aymen\Desktop\main\src\app\pages\User\edit-user\edit-user.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\User\edit-user\edit-user.component.ts", "TypeScript", 0, 107, 0, 5, 23, 135
"c:\Users\aymen\Desktop\main\src\app\pages\User\users\users.component.html", "HTML", 0, 0, 78, 3, 20, 101
"c:\Users\aymen\Desktop\main\src\app\pages\User\users\users.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\Users\aymen\Desktop\main\src\app\pages\User\users\users.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\User\users\users.component.ts", "TypeScript", 0, 135, 0, 4, 37, 176
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\login\login.component.html", "HTML", 0, 0, -16, 17, -1, 0
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\login\login.component.ts", "TypeScript", 0, 12, 0, -2, 1, 11
"c:\Users\aymen\Desktop\main\src\app\pages\front-page\front-page\front-page.component.html", "HTML", 0, 0, -35, 0, -8, -43
"c:\Users\aymen\Desktop\main\src\app\pages\front-page\front-page\front-page.component.scss", "SCSS", -29, 0, 0, 0, -9, -38
"c:\Users\aymen\Desktop\main\src\app\pages\front-page\front-page\front-page.component.spec.ts", "TypeScript", 0, -18, 0, 0, -6, -24
"c:\Users\aymen\Desktop\main\src\app\pages\front-page\front-page\front-page.component.ts", "TypeScript", 0, -50, 0, -1, -19, -70
"c:\Users\aymen\Desktop\main\src\app\pages\users\users.component.html", "HTML", 0, 0, -1, 0, -1, -2
"c:\Users\aymen\Desktop\main\src\app\pages\users\users.component.scss", "SCSS", 0, 0, 0, 0, -1, -1
"c:\Users\aymen\Desktop\main\src\app\pages\users\users.component.spec.ts", "TypeScript", 0, -18, 0, 0, -6, -24
"c:\Users\aymen\Desktop\main\src\app\pages\users\users.component.ts", "TypeScript", 0, -8, 0, 0, -3, -11
"Total", "-", 305, 623, 249, 96, 327, 1600
