"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "HTML", "SCSS", "comment", "blank", "total"
"c:\Users\aymen\Desktop\main\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\aymen\Desktop\main\angular.json", "JSON", 0, 104, 0, 0, 0, 0, 0, 1, 105
"c:\Users\aymen\Desktop\main\package-lock.json", "JSON", 0, 13027, 0, 0, 0, 0, 0, 1, 13028
"c:\Users\aymen\Desktop\main\package.json", "JSON", 0, 54, 0, 0, 0, 0, 0, 1, 55
"c:\Users\aymen\Desktop\main\src\app\SERVICE\CartService.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 16, 58
"c:\Users\aymen\Desktop\main\src\app\SERVICE\page-update.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -1, 1, 0
"c:\Users\aymen\Desktop\main\src\app\SERVICE\paymentService.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 20, 48
"c:\Users\aymen\Desktop\main\src\app\app-routing.module.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\aymen\Desktop\main\src\app\app.module.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\aymen\Desktop\main\src\app\layouts\full\header\header.component.html", "HTML", 0, 0, 0, 0, -5, 0, 0, 5, 0
"c:\Users\aymen\Desktop\main\src\app\layouts\full\header\header.component.ts", "TypeScript", 0, 0, 77, 0, 0, 0, 4, 25, 106
"c:\Users\aymen\Desktop\main\src\app\pages\Books\books\books.component.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\aymen\Desktop\main\src\app\pages\Books\edit-book\edit-book.component.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\aymen\Desktop\main\src\app\pages\Cart\cart\cart.component.html", "HTML", 0, 0, 0, 0, 31, 0, 0, 7, 38
"c:\Users\aymen\Desktop\main\src\app\pages\Cart\cart\cart.component.scss", "SCSS", 0, 0, 0, 0, 0, 129, 2, 18, 149
"c:\Users\aymen\Desktop\main\src\app\pages\Cart\cart\cart.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\Cart\cart\cart.component.ts", "TypeScript", 0, 0, 102, 0, 0, 0, 2, 31, 135
"c:\Users\aymen\Desktop\main\src\app\pages\Client\client-sidebar\client-sidebar.component.html", "HTML", 0, 0, 0, 0, -1, 0, 0, 1, 0
"c:\Users\aymen\Desktop\main\src\app\pages\Client\client-sidebar\client-sidebar.component.scss", "SCSS", 0, 0, 0, 0, 0, -3, 2, 0, -1
"c:\Users\aymen\Desktop\main\src\app\pages\Client\front-page\front-page.component.html", "HTML", 0, 0, 0, 0, 34, 0, 1, 11, 46
"c:\Users\aymen\Desktop\main\src\app\pages\Client\front-page\front-page.component.scss", "SCSS", 0, 0, 0, 0, 0, 51, -1, 24, 74
"c:\Users\aymen\Desktop\main\src\app\pages\Client\front-page\front-page.component.ts", "TypeScript", 0, 0, 145, 0, 0, 0, 10, 49, 204
"c:\Users\aymen\Desktop\main\src\app\pages\Client\order\order.component.html", "HTML", 0, 0, 0, 0, 42, 0, 0, 11, 53
"c:\Users\aymen\Desktop\main\src\app\pages\Client\order\order.component.scss", "SCSS", 0, 0, 0, 0, 0, 225, 12, 39, 276
"c:\Users\aymen\Desktop\main\src\app\pages\Client\order\order.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\Client\order\order.component.ts", "TypeScript", 0, 0, 92, 0, 0, 0, 3, 20, 115
"c:\Users\aymen\Desktop\main\src\app\pages\User\users\users.component.html", "HTML", 0, 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\aymen\Desktop\main\src\app\pages\User\users\users.component.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, -1, 0
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\login\login.component.html", "HTML", 0, 0, 0, 0, -10, 0, 0, -1, -11
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\login\login.component.scss", "SCSS", 0, 0, 0, 0, 0, 19, 2, 1, 22
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\login\login.component.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, -1, 0
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\register\register.component.html", "HTML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\register\register.component.scss", "SCSS", 0, 0, 0, 0, 0, 19, 2, 3, 24
"c:\Users\aymen\Desktop\main\src\assets\scss\layouts\_sidebar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\aymen\Desktop\main\tsconfig.app.json", "JSON", 0, 13, 0, 0, 0, 0, 1, 1, 15
"c:\Users\aymen\Desktop\main\tsconfig.json", "JSON with Comments", 30, 0, 0, 0, 0, 0, 1, 1, 32
"c:\Users\aymen\Desktop\main\tsconfig.spec.json", "JSON", 0, 13, 0, 0, 0, 0, 1, 1, 15
"Total", "-", 30, 13211, 536, 2, 98, 440, 42, 303, 14662
