"filename", "language", "JSON", "Markdown", "SCSS", "JSON with Comments", "TypeScript", "HTML", "XML", "comment", "blank", "total"
"c:\Users\aymen\Desktop\main\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\aymen\Desktop\main\angular.json", "JSON", 104, 0, 0, 0, 0, 0, 0, 0, 1, 105
"c:\Users\aymen\Desktop\main\package-lock.json", "JSON", 13068, 0, 0, 0, 0, 0, 0, 0, 1, 13069
"c:\Users\aymen\Desktop\main\package.json", "JSON", 56, 0, 0, 0, 0, 0, 0, 0, 1, 57
"c:\Users\aymen\Desktop\main\src\app\SERVICE\BookService.ts", "TypeScript", 0, 0, 0, 0, 85, 0, 0, 1, 32, 118
"c:\Users\aymen\Desktop\main\src\app\SERVICE\CartService.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 0, 16, 58
"c:\Users\aymen\Desktop\main\src\app\SERVICE\DataService.ts", "TypeScript", 0, 0, 0, 0, 46, 0, 0, 0, 22, 68
"c:\Users\aymen\Desktop\main\src\app\SERVICE\HistoryService.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 7, 25
"c:\Users\aymen\Desktop\main\src\app\SERVICE\UserService.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 0, 0, 25, 61
"c:\Users\aymen\Desktop\main\src\app\SERVICE\auth.guard.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 3, 6, 34
"c:\Users\aymen\Desktop\main\src\app\SERVICE\page-update.service.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"c:\Users\aymen\Desktop\main\src\app\SERVICE\paymentService.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 0, 20, 48
"c:\Users\aymen\Desktop\main\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 0, 70, 0, 0, 3, 5, 78
"c:\Users\aymen\Desktop\main\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\aymen\Desktop\main\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"c:\Users\aymen\Desktop\main\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\aymen\Desktop\main\src\app\app.config.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 0, 2, 26
"c:\Users\aymen\Desktop\main\src\app\app.module.ts", "TypeScript", 0, 0, 0, 0, 72, 0, 0, 4, 13, 89
"c:\Users\aymen\Desktop\main\src\app\layouts\blank\blank.component.html", "HTML", 0, 0, 0, 0, 0, 8, 0, 3, 1, 12
"c:\Users\aymen\Desktop\main\src\app\layouts\blank\blank.component.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\aymen\Desktop\main\src\app\layouts\full\full.component.html", "HTML", 0, 0, 0, 0, 0, 27, 0, 12, 4, 43
"c:\Users\aymen\Desktop\main\src\app\layouts\full\full.component.ts", "TypeScript", 0, 0, 0, 0, 46, 0, 0, 2, 14, 62
"c:\Users\aymen\Desktop\main\src\app\layouts\full\header\header.component.html", "HTML", 0, 0, 0, 0, 0, 55, 0, 14, 17, 86
"c:\Users\aymen\Desktop\main\src\app\layouts\full\header\header.component.ts", "TypeScript", 0, 0, 0, 0, 142, 0, 0, 10, 38, 190
"c:\Users\aymen\Desktop\main\src\app\layouts\full\sidebar\branding.component.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
"c:\Users\aymen\Desktop\main\src\app\layouts\full\sidebar\nav-item\nav-item.component.html", "HTML", 0, 0, 0, 0, 0, 21, 0, 0, 1, 22
"c:\Users\aymen\Desktop\main\src\app\layouts\full\sidebar\nav-item\nav-item.component.ts", "TypeScript", 0, 0, 0, 0, 33, 0, 0, 1, 6, 40
"c:\Users\aymen\Desktop\main\src\app\layouts\full\sidebar\nav-item\nav-item.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
"c:\Users\aymen\Desktop\main\src\app\layouts\full\sidebar\sidebar-data.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 45, 2, 73
"c:\Users\aymen\Desktop\main\src\app\layouts\full\sidebar\sidebar.component.html", "HTML", 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"c:\Users\aymen\Desktop\main\src\app\layouts\full\sidebar\sidebar.component.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\aymen\Desktop\main\src\app\material.module.ts", "TypeScript", 0, 0, 0, 0, 78, 0, 0, 6, 2, 86
"c:\Users\aymen\Desktop\main\src\app\pages\Books\add-book\add-book.component.html", "HTML", 0, 0, 0, 0, 0, 24, 0, 0, 11, 35
"c:\Users\aymen\Desktop\main\src\app\pages\Books\add-book\add-book.component.scss", "SCSS", 0, 0, 33, 0, 0, 0, 0, 0, 9, 42
