"filename", "language", "HTML", "TypeScript", "SCSS", "comment", "blank", "total"
"c:\Users\aymen\Desktop\main\src\app\SERVICE\BookService.ts", "TypeScript", 0, 85, 0, 1, 32, 118
"c:\Users\aymen\Desktop\main\src\app\SERVICE\CartService.ts", "TypeScript", 0, 42, 0, 0, 16, 58
"c:\Users\aymen\Desktop\main\src\app\SERVICE\ChatService.ts", "TypeScript", 0, 50, 0, 0, 17, 67
"c:\Users\aymen\Desktop\main\src\app\SERVICE\DataService.ts", "TypeScript", 0, 46, 0, 0, 22, 68
"c:\Users\aymen\Desktop\main\src\app\SERVICE\HistoryService.ts", "TypeScript", 0, 18, 0, 0, 7, 25
"c:\Users\aymen\Desktop\main\src\app\SERVICE\UserService.ts", "TypeScript", 0, 36, 0, 0, 25, 61
"c:\Users\aymen\Desktop\main\src\app\SERVICE\auth.guard.ts", "TypeScript", 0, 25, 0, 3, 6, 34
"c:\Users\aymen\Desktop\main\src\app\SERVICE\notificationService.ts", "TypeScript", 0, 19, 0, 0, 6, 25
"c:\Users\aymen\Desktop\main\src\app\SERVICE\page-update.service.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"c:\Users\aymen\Desktop\main\src\app\SERVICE\paymentService.ts", "TypeScript", 0, 28, 0, 0, 20, 48
"c:\Users\aymen\Desktop\main\src\app\app-routing.module.ts", "TypeScript", 0, 78, 0, 3, 7, 88
"c:\Users\aymen\Desktop\main\src\app\app.component.html", "HTML", 1, 0, 0, 0, 1, 2
"c:\Users\aymen\Desktop\main\src\app\app.component.spec.ts", "TypeScript", 0, 31, 0, 0, 5, 36
"c:\Users\aymen\Desktop\main\src\app\app.component.ts", "TypeScript", 0, 8, 0, 0, 2, 10
"c:\Users\aymen\Desktop\main\src\app\app.config.ts", "TypeScript", 0, 24, 0, 0, 2, 26
"c:\Users\aymen\Desktop\main\src\app\app.module.ts", "TypeScript", 0, 83, 0, 4, 14, 101
"c:\Users\aymen\Desktop\main\src\app\layouts\blank\blank.component.html", "HTML", 8, 0, 0, 3, 1, 12
"c:\Users\aymen\Desktop\main\src\app\layouts\blank\blank.component.ts", "TypeScript", 0, 9, 0, 0, 2, 11
